첩보 특훈				(월)		캠프 건설				(화)		기술 연구				(수)		팰몬 육성				(목)		전투 준비				(금)		적군 처치 (토)						적군 처치 (토)				
	1 AP소모			 300 			건설가속 1분 사용			 118 			기술가속 1분 사용			 118 			펠몬알 1회 부화			 6,900 			첩보퀘스트 1개			 28,200 			UR 비행선 1회 파견			 200,000 						
	첩보퀘스트 1개			 28,200 			건설 전투력 1 증가			 10 			기술 전투력 1 증가			 10 			팰몬 경험치 500 소모			 2 			건설 가속 1분 사용			 118 			레전드 보물찾기 1개			 150,000 						
	팰몬 경험치 500 소모			 2 		갱신검색	UR 비행선 1회 파견			 200,000 			개선훈장 1개 소모			 600 			UR팰몬 증표 1개 사용			 20,000 			건설 전투력 1 증가			 10 			건설 가속 1분 사용			 118 						
	탈것식량 100개 소모			 6 		갱신검색	레전드 보물찾기 1개			 150,000 			첩보 퀘스트 1개 완료			 28,200 			SSR팰몬 증표 1개 사용			 8,000 			기술 가속 1분 사용			 118 			기술 가속 1분 사용			 118 						
	황금편자 1개 소모			 5,000 			신기한완두 1개 획득			 600 			신기한 원두 1개 획득			 600 			SR팰몬 증표 1개 사용			 4,000 			기술 전투력 1 증가			 10 			훈련 가속 1분 사용			 118 						
	골드 100 채집			 40 									번식 레전드 화환 1개사용			 300,000 			레전드 스킬열매 1개사용			 200 			훈련 가속 1분 사용			 118 			의료 가속 1분 사용			 118 						
	목판 100 채집			 40 									번식 에픽 화환 1개사용			 100,000 			에픽 스킬열매 1개사용			 80 			Lv.1 아미고훈련			 69 		신기한완두 1개 획득				 600 						
	강철 100 채집			 40 									번식 노멀 화환 1개사용			 20,000 			레어 스킬열매 1개사용			 40 			Lv.2 아미고훈련			 83 		타인Lv1.아미고 처치(특정길드매칭)				36 / 7		타인전투 Lv1.아미고 사망 (MY)				12
	신기한완두 1개 획득			 600 									개인번식기지 1분 가속			 118 			신기한완두 1개 획득			 600 			Lv.3 아미고훈련			 97 		타인Lv2.아미고 처치(특정길드매칭)				43 / 10		타인전투 Lv2.아미고 사망 (MY)				16
																									Lv.4 아미고훈련			 110 		타인Lv3.아미고 처치(특정길드매칭)				50 / 12		타인전투 Lv3.아미고 사망 (MY)				20
																									Lv.5 아미고훈련			 124 		타인Lv4.아미고 처치(특정길드매칭)				58 / 14		타인전투 Lv4.아미고 사망 (MY)				24
																									Lv.6 아미고훈련			 138 		타인Lv5.아미고 처치(특정길드매칭)				65 / 17		타인전투 Lv5.아미고 사망 (MY)				28
																									Lv.7 아미고훈련			 166 		타인Lv6.아미고 처치(특정길드매칭)				72 / 19		타인전투 Lv6.아미고 사망 (MY)				32
																									Lv.8 아미고훈련			 207 		타인Lv7.아미고 처치(특정길드매칭)				86 / 22		타인전투 Lv7.아미고 사망 (MY)				36
																									Lv.9 아미고훈련			 253 		타인Lv8.아미고 처치(특정길드매칭)				108 / 24		타인전투 Lv8.아미고 사망 (MY)				40
																									신기한완두 1개 획득			 600 		타인Lv9.아미고 처치(특정길드매칭)				132 / 26		타인전투 Lv9.아미고 사망 (MY)				44
																									진화 정수 1개 사용			 20,000 		  / 뒤 는 비특정 길드매칭										
																									4대속성 에너지 1개 사용			 4 												
																									오로라 정수 1개 사용			 20,000 												
