적군 처치				(토)
1	일차		8월	8
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	펠몬강화
"오후
/저녁"	오후 3:00	~	오후 6:59	건물레벨업
"저녁
/밤"	오후 7:00	~	오후 10:59	아미고훈련
밤/새벽	오후 11:00	~	오전 2:59	기술연구
새벽/아침	오전 3:00	~	오전 6:59	AP소모
오전	오전 7:00	~	오전 10:59	펠몬강화


길드대결-없음				(일)
2	일차		8월	9
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	건물레벨업
"오후
/저녁"	오후 3:00	~	오후 6:59	아미고훈련
"저녁
/밤"	오후 7:00	~	오후 10:59	기술연구
밤/새벽	오후 11:00	~	오전 2:59	AP소모
새벽/아침	오전 3:00	~	오전 6:59	펠몬강화
오전	오전 7:00	~	오전 10:59	건물레벨업


첩보 특훈				(월)
3	일차		8월	10
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	아미고훈련
"오후
/저녁"	오후 3:00	~	오후 6:59	기술연구
"저녁
/밤"	오후 7:00	~	오후 10:59	AP소모
밤/새벽	오후 11:00	~	오전 2:59	펠몬강화
새벽/아침	오전 3:00	~	오전 6:59	건물레벨업
오전	오전 7:00	~	오전 10:59	아미고훈련


캠프 건설				(화)
4	일차		8월	11
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	기술연구
"오후
/저녁"	오후 3:00	~	오후 6:59	AP소모
"저녁
/밤"	오후 7:00	~	오후 10:59	펠몬강화
밤/새벽	오후 11:00	~	오전 2:59	건물레벨업
새벽/아침	오전 3:00	~	오전 6:59	아미고훈련
오전	오전 7:00	~	오전 10:59	기술연구


기술 연구				(수)
5	일차		8월	12
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	AP소모
"오후
/저녁"	오후 3:00	~	오후 6:59	펠몬강화
"저녁
/밤"	오후 7:00	~	오후 10:59	건물레벨업
밤/새벽	오후 11:00	~	오전 2:59	아미고훈련
새벽/아침	오전 3:00	~	오전 6:59	기술연구
오전	오전 7:00	~	오전 10:59	AP소모


팰몬 육성				(목)
6	일차		8월	13
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	펠몬강화
"오후
/저녁"	오후 3:00	~	오후 6:59	건물레벨업
"저녁
/밤"	오후 7:00	~	오후 10:59	아미고훈련
밤/새벽	오후 11:00	~	오전 2:59	기술연구
새벽/아침	오전 3:00	~	오전 6:59	AP소모
오전	오전 7:00	~	오전 10:59	펠몬강화


전투 준비				(금)
7	일차		8월	14
				
대륙시간/한국시간				모험가
"점심
/오후"	오전 11:00	~	오후 2:59	건물레벨업
"오후
/저녁"	오후 3:00	~	오후 6:59	아미고훈련
"저녁
/밤"	오후 7:00	~	오후 10:59	기술연구
밤/새벽	오후 11:00	~	오전 2:59	AP소모
새벽/아침	오전 3:00	~	오전 6:59	펠몬강화
오전	오전 7:00	~	오전 10:59	건물레벨업



건물레벨업 : 건물가속, 건물전투력 증가
아미고훈련 : 아미고 훈련
기술연구 : 가술가속, 기술전투력 증가
AP소모 : AP소모, 탈것식량 소모
펠몬강화 : 팰몬 경험치 소모 
