팰몬 캠프 업그레이드 자격 요건

레벨	건물 1	건물 2	골드	목판	강철	기존 시간
2	 	 	 	-	 	3s
3	테이블쏘 1	용광로 1	 	5백	5백	1m
4	상점 3	 	 	2천	2천	10m
5	상점 4	 	 	5천	5천	30m
6	원정파티	부화실	 	2만	2만	48m
7	아미고기지	상점	 	5만	5만	1h 30m
8	병원	테이블쏘	 	15만	15만	3h 37m
9	물의 조각상	상점	 	50만	50만	5h
10	원정파티	아미고	 	100만	100만	6h 40m
11	 전력 저장소10	연구대 10	 	200만	200만	8h 20m
12	병원 10	부화실 11	 	320만	320만	-
13	아미고 기지 12	테이블쏘 12	 	500만	500만	-
14	병원 13	용광로 13	 	770만	770만	 
15	전력 저장소 14	연구대 14	 	1010만	1010만	23h
16	아미고 기지 15	테이블쏘15 스토어하우스	1690만	1410만	1410만	32h
17	원정 파티 16	전력 저장소 16	2170만	2180만	2180만	45h
18	부화실 17	연구대 17	4560만	3200만	3200만	63h
19	아미고 기지 18	연구대 18	6370만	5310만	5310만	89h
20	병원 19	연구대 19	-	6090만	6090만	125h
21	원정 파티 20	연구대 20	1.2억	1.04억	1.04억	175h
22	아미고 기지 21	연구대 21	1.6억	1.447억	1.447억	245h
23	병원 22	연구대 22	1.7억	2.013억	2.013억	343h
24	원정 파티 23	연구대 23	2.5억	2.801억	2.801억	481h
25	아미고 기지 24	연구대 24	2억	3.81억	3.81억	556h
26	병원 25	연구대 25	6.3억	5.25억	5.25억	792h
27	원정 파티 26	연구대 26	-	6.05억	6.05억	973h
28	아미고 기지 27	연구대 27	-	7.45억	7.45억	1,445h
29	병원 28	연구대 28	-	9.86억	9.86억	1,881h
30	원정 파티 29	연구대 29	15억	13억	13억	2,445h
