등급	속성	이미지 번호	팰몬 이름
SR	물	30	아우타이크
SSR	불	50	와이버노
SSR	물	70	플래티푸츠
SSR	물	80	스노우카미
SR	바위	90	플루팡
UR	물	100	닌점프
진화	물	101	섀도우캐루
슈퍼 진화	물	102	시노비부포
SSR	바위	110	린다니어
SSR	바위	120	테라스투도
SR	바위	130	스핀칠라
SSR	전기	140	썬더클로
SSR	바위	150	브루즈베리
SR	바위	160	그래키티
SSR	물	170	미야모아젤
SSR	물	180	스퀴즐
SSR	바위	190	서버던트
SSR	물	200	맥시미토
SR	불	210	엠보아
UR	전기	220	아버즈니안
진화	전기	221	서볼트
슈퍼 진화	전기	222	섀도우볼트
SSR	불	230	불카니드
SR	바위	240	헤라클리프
SSR	불	250	인시너랩터
SR	전기	260	킬로홉
UR	물	270	루시디아
진화	물	271	오네리아
UR	전기	280	바크플러그
진화	전기	281	왓트와일러
슈퍼 진화	전기	282	볼트팡
UR	물	290	핀제뉴
진화	물	291	피나벨
UR	바위	300	길런트
진화	바위	301	슈푀리에
슈퍼 진화	바위	302	르페르가르드
UR	물	310	돌피렌드
진화	물	311	아돌포니스
슈퍼 진화	물	312	레비아돌프
UR	전기	320	맨틀레이
진화	전기	321	소서레이
슈퍼 진화	전기	322	미스티레이
UR	바위	330	스태츄
진화	바위	331	아누비스트
슈퍼 진화	바위	332	파라오하운드
UR	불	340	블레질
진화	불	341	와일드퓨러
UR	바위	350	서베일링크스
진화	바위	351	카무플링크스
슈퍼 진화	바위	352	프레달린스
UR	바위	360	우자드
진화	바위	361	플로리자드
UR	바위	370	바붐
진화	바위	371	룸브키
UR	전기	380	썬디어리
진화	전기	381	케라노사우루스
UR	불	390	마그몰린
진화	불	391	옵시드레이크
슈퍼 진화	불	392	인퍼드레이크
UR	불	400	후피릿
진화	불	401	플레어리
슈퍼 진화	불	402	솔호른
UR	바위	410	살라맨티스
진화	바위	411	실바우루스
UR	전기	420	리뮤로이드
진화	전기	421	부노드로이드
UR	물	430	레갈리온
진화	물	431	라이온아크
UR	불	440	피피스트리고이
진화	불	441	샤크도우
UR	불	450	레본투렛
진화	불	451	불피리언
슈퍼 진화	불	452	불피레인
UR	전기	460	배터레이나
진화	전기	461	엠프레이나
UR	바위	470	올레아나
UR	불	480	에스카피에
진화	불	481	에소시에
SSR	SSR	490	로토로터
SSR	SSR	500	불릿볼트
UR	불	510	스푸카부
SSR	바위	520	악솔리움
UR	물	530	샤리나
진화	물	531	그나쉬핀
신화(시즌2)	전기	540	자판티스
진화(시즌2)	전기	541	쇼크맨티스
신화(시즌1)	물	550	글레이스윙
진화(시즌1)	물	551	크라이오번
신화(시즌1)	바위	560	마몰리스
진화(시즌1)	바위	561	프리즈몰리스
신화(시즌1)	전기	570	썬더투스
진화(시즌1)	전기	571	썬더메인
신화(시즌1)	불	580	엠버 가이스트
진화(시즌1)	불	581	파이로 가이스트
UR	물	600	쿵바오
진화	물	601	마스터바오
신화(시즌2)	불	610	헥스킷
진화(시즌2)	불	611	신더퍼
신화(시즌2)	물	640	플란더조
진화(시즌2)	물	641	캡틴 스쿼루스
신화(시즌2)	바위	650	루트 워든
진화(시즌2)	바위	651	가시 파수꾼
